locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAFGOAIM_00001	CDS	435				hypothetical protein
CAFGOAIM_00002	CDS	222				hypothetical protein
CAFGOAIM_00003	CDS	684	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
CAFGOAIM_00004	CDS	927				hypothetical protein
CAFGOAIM_00005	CDS	249				hypothetical protein
CAFGOAIM_00006	CDS	438	umuD	3.4.21.-	COG1974	Protein UmuD
CAFGOAIM_00007	CDS	1275	umuC		COG0389	Protein UmuC
CAFGOAIM_00008	CDS	417	stbB			Protein StbB
CAFGOAIM_00009	CDS	981	parM			Plasmid segregation protein ParM
CAFGOAIM_00010	CDS	309				hypothetical protein
CAFGOAIM_00011	CDS	645				hypothetical protein
CAFGOAIM_00012	CDS	789	xerD		COG4974	Tyrosine recombinase XerD
CAFGOAIM_00013	CDS	690				hypothetical protein
CAFGOAIM_00014	CDS	240				hypothetical protein
CAFGOAIM_00015	CDS	258				hypothetical protein
CAFGOAIM_00016	CDS	591				hypothetical protein
CAFGOAIM_00017	CDS	348				hypothetical protein
CAFGOAIM_00018	CDS	336				hypothetical protein
CAFGOAIM_00019	CDS	1236	cia_1			Colicin-Ia
CAFGOAIM_00020	CDS	426				hypothetical protein
CAFGOAIM_00021	CDS	318	sugE			Quaternary ammonium compound-resistance protein SugE
CAFGOAIM_00022	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
CAFGOAIM_00023	CDS	1146	ampC	3.5.2.6		Beta-lactamase
CAFGOAIM_00024	CDS	189				hypothetical protein
CAFGOAIM_00025	CDS	1200				hypothetical protein
CAFGOAIM_00026	CDS	705	cia_2			Colicin-Ia
CAFGOAIM_00027	CDS	1347				hypothetical protein
CAFGOAIM_00028	CDS	603	proQ			RNA chaperone ProQ
CAFGOAIM_00029	CDS	495				hypothetical protein
CAFGOAIM_00030	CDS	144				hypothetical protein
CAFGOAIM_00031	CDS	234				hypothetical protein
CAFGOAIM_00032	CDS	474				hypothetical protein
CAFGOAIM_00033	CDS	849	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
CAFGOAIM_00034	CDS	282	relE2		COG3668	Toxin RelE2
CAFGOAIM_00035	CDS	270				hypothetical protein
CAFGOAIM_00036	CDS	1077	repA			Replication initiation protein
CAFGOAIM_00037	CDS	288				hypothetical protein
CAFGOAIM_00038	CDS	534	rfaH			Transcription antitermination protein RfaH
CAFGOAIM_00039	CDS	684				hypothetical protein
CAFGOAIM_00040	CDS	567				hypothetical protein
CAFGOAIM_00041	CDS	255				hypothetical protein
CAFGOAIM_00042	CDS	453				hypothetical protein
CAFGOAIM_00043	CDS	591				hypothetical protein
CAFGOAIM_00044	CDS	1068				hypothetical protein
CAFGOAIM_00045	CDS	438				hypothetical protein
CAFGOAIM_00046	CDS	1683	bfpB			Outer membrane lipoprotein BfpB
CAFGOAIM_00047	CDS	1296				hypothetical protein
CAFGOAIM_00048	CDS	453				hypothetical protein
CAFGOAIM_00049	CDS	1554	tcpT		COG2804	Toxin coregulated pilus biosynthesis protein T
CAFGOAIM_00050	CDS	1098	tcpE			Toxin coregulated pilus biosynthesis protein E
CAFGOAIM_00051	CDS	615				hypothetical protein
CAFGOAIM_00052	CDS	561				hypothetical protein
CAFGOAIM_00053	CDS	657				hypothetical protein
