file,sequence,species
genome1.fasta,NODE_42_length_42978_cov_16.990438,Klebsiella pneumoniae
genome1.fasta,NODE_42_length_42978_cov_16.990438,Klebsiella pneumoniae
genome1.fasta,NODE_42_length_42978_cov_16.990438,Klebsiella pneumoniae
genome22.fasta,NODE_27_length_10506_cov_41.427597,Staphyloccoccus warneri
genome22.fasta,NODE_27_length_10506_cov_41.427597,Staphyloccoccus warneri
genome22.fasta,NODE_27_length_10506_cov_41.427597,Staphyloccoccus warneri
genome22.fasta,NODE_27_length_10506_cov_41.427597,Staphyloccoccus warneri
genome22.fasta,NODE_43_length_2345_cov_2403.472395,Staphyloccoccus warneri
genome22.fasta,NODE_43_length_2345_cov_2403.472395,Staphyloccoccus warneri
genome22.fasta,NODE_43_length_2345_cov_2403.472395,Staphyloccoccus warneri
genome29.fasta,NODE_56_length_2305_cov_620.290118,Staphyloccoccus epidermidis
genome29.fasta,NODE_56_length_2305_cov_620.290118,Staphyloccoccus epidermidis
genome29.fasta,NODE_56_length_2305_cov_620.290118,Staphyloccoccus epidermidis
genome3.fasta,NODE_22_length_73939_cov_13.042389,Escherichia  coli
genome3.fasta,NODE_22_length_73939_cov_13.042389,Escherichia  coli
genome30.fasta,NODE_18_length_24824_cov_61.573873,Staphyloccoccus warneri
genome30.fasta,NODE_18_length_24824_cov_61.573873,Staphyloccoccus warneri
genome30.fasta,NODE_18_length_24824_cov_61.573873,Staphyloccoccus warneri
genome30.fasta,NODE_18_length_24824_cov_61.573873,Staphyloccoccus warneri
genome30.fasta,NODE_60_length_703_cov_4241.998344,Staphyloccoccus warneri
genome30.fasta,NODE_60_length_703_cov_4241.998344,Staphyloccoccus warneri
genome32.fasta,NODE_41_length_4753_cov_20.978728,Staphyloccoccus  epidermidis
genome32.fasta,NODE_41_length_4753_cov_20.978728,Staphyloccoccus  epidermidis
genome33.fasta,NODE_2_length_217598_cov_19.485952,Staphyloccoccus aureus
genome33.fasta,NODE_2_length_217598_cov_19.485952,Staphyloccoccus aureus
genome33.fasta,NODE_38_length_1699_cov_0.250000,Staphyloccoccus aureus
genome33.fasta,NODE_38_length_1699_cov_0.250000,Staphyloccoccus aureus
genome36.fasta,NODE_15_length_136795_cov_22.099162,Klebsiella pneumoniae
genome36.fasta,NODE_15_length_136795_cov_22.099162,Klebsiella pneumoniae
genome36.fasta,NODE_34_length_63067_cov_25.930044,Klebsiella pneumoniae
genome36.fasta,NODE_34_length_63067_cov_25.930044,Klebsiella pneumoniae
genome36.fasta,NODE_34_length_63067_cov_25.930044,Klebsiella pneumoniae
genome41.fasta,NODE_44_length_43061_cov_24.463410,Klebsiella pneumoniae
genome41.fasta,NODE_44_length_43061_cov_24.463410,Klebsiella pneumoniae
genome41.fasta,NODE_44_length_43061_cov_24.463410,Klebsiella pneumoniae
genome42.fasta,NODE_37_length_43294_cov_12.460632,Escherichia  coli
genome42.fasta,NODE_37_length_43294_cov_12.460632,Escherichia  coli
