locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBFBDDFI_00001	CDS	1668	tnsC			Transposon Tn7 transposition protein TnsC
IBFBDDFI_00002	CDS	2109	tnsB			Transposon Tn7 transposition protein TnsB
IBFBDDFI_00003	CDS	822	tnsA			Transposon Tn7 transposition protein TnsA
IBFBDDFI_00004	CDS	1347				hypothetical protein
IBFBDDFI_00005	CDS	303	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
IBFBDDFI_00006	CDS	816	folP	2.5.1.15	COG0294	Dihydropteroate synthase
IBFBDDFI_00007	CDS	294				hypothetical protein
IBFBDDFI_00008	CDS	2304				hypothetical protein
IBFBDDFI_00009	CDS	1125				hypothetical protein
IBFBDDFI_00010	CDS	1308				hypothetical protein
IBFBDDFI_00011	CDS	96				hypothetical protein
IBFBDDFI_00012	CDS	177				hypothetical protein
IBFBDDFI_00013	CDS	468	nuc	3.1.31.1		Thermonuclease
IBFBDDFI_00014	CDS	681				hypothetical protein
IBFBDDFI_00015	CDS	252				hypothetical protein
IBFBDDFI_00016	CDS	216				hypothetical protein
IBFBDDFI_00017	CDS	369				hypothetical protein
IBFBDDFI_00018	CDS	243				hypothetical protein
IBFBDDFI_00019	CDS	153	pndA			Protein PndA
IBFBDDFI_00020	CDS	1587	rpoS			RNA polymerase sigma factor RpoS
IBFBDDFI_00021	CDS	654				hypothetical protein
IBFBDDFI_00022	CDS	2166				hypothetical protein
IBFBDDFI_00023	CDS	570				hypothetical protein
IBFBDDFI_00024	CDS	1206				hypothetical protein
IBFBDDFI_00025	CDS	621				hypothetical protein
IBFBDDFI_00026	CDS	3045				hypothetical protein
IBFBDDFI_00027	CDS	627				hypothetical protein
IBFBDDFI_00028	CDS	252				hypothetical protein
IBFBDDFI_00029	CDS	399				hypothetical protein
IBFBDDFI_00030	CDS	531				hypothetical protein
IBFBDDFI_00031	CDS	714				hypothetical protein
IBFBDDFI_00032	CDS	1338				hypothetical protein
IBFBDDFI_00033	CDS	975				hypothetical protein
IBFBDDFI_00034	CDS	696				hypothetical protein
IBFBDDFI_00035	CDS	351				hypothetical protein
IBFBDDFI_00036	CDS	4062	traC	2.7.7.-		DNA primase TraC
IBFBDDFI_00037	CDS	291				hypothetical protein
IBFBDDFI_00038	CDS	1149	yggR		COG2805	putative protein YggR
IBFBDDFI_00039	CDS	837				hypothetical protein
IBFBDDFI_00040	CDS	459				hypothetical protein
IBFBDDFI_00041	CDS	1203				hypothetical protein
IBFBDDFI_00042	CDS	822				hypothetical protein
IBFBDDFI_00043	CDS	1362				hypothetical protein
IBFBDDFI_00044	CDS	627				hypothetical protein
IBFBDDFI_00045	CDS	486				hypothetical protein
IBFBDDFI_00046	CDS	537				hypothetical protein
IBFBDDFI_00047	CDS	1095	tcpE			Toxin coregulated pilus biosynthesis protein E
IBFBDDFI_00048	CDS	1509	tcpT		COG2804	Toxin coregulated pilus biosynthesis protein T
IBFBDDFI_00049	CDS	459				hypothetical protein
IBFBDDFI_00050	CDS	1296				hypothetical protein
IBFBDDFI_00051	CDS	1620	bfpB			Outer membrane lipoprotein BfpB
IBFBDDFI_00052	CDS	438				hypothetical protein
IBFBDDFI_00053	CDS	1071				hypothetical protein
IBFBDDFI_00054	CDS	321				hypothetical protein
IBFBDDFI_00055	CDS	243				hypothetical protein
IBFBDDFI_00056	CDS	1695	yqiK		COG2268	Inner membrane protein YqiK
IBFBDDFI_00057	CDS	621	yqiJ			Inner membrane protein YqiJ
IBFBDDFI_00058	CDS	663				hypothetical protein
IBFBDDFI_00059	CDS	642	rfaH			Transcription antitermination protein RfaH
IBFBDDFI_00060	CDS	873				hypothetical protein
IBFBDDFI_00061	CDS	279				hypothetical protein
IBFBDDFI_00062	CDS	276				hypothetical protein
IBFBDDFI_00063	CDS	279				hypothetical protein
IBFBDDFI_00064	CDS	603	proQ			RNA chaperone ProQ
IBFBDDFI_00065	CDS	1053				hypothetical protein
IBFBDDFI_00066	CDS	591				hypothetical protein
IBFBDDFI_00067	CDS	255				hypothetical protein
IBFBDDFI_00068	CDS	1500				hypothetical protein
IBFBDDFI_00069	CDS	864				hypothetical protein
IBFBDDFI_00070	CDS	414				hypothetical protein
IBFBDDFI_00071	CDS	780	xerD		COG4974	Tyrosine recombinase XerD
IBFBDDFI_00072	CDS	645				hypothetical protein
IBFBDDFI_00073	CDS	309				hypothetical protein
IBFBDDFI_00074	CDS	981	parM			Plasmid segregation protein ParM
IBFBDDFI_00075	CDS	417	stbB			Protein StbB
