species,file,sequence,start,end,strand,gene,coverage,coverage_map,gaps,coverage_pec,identity_perc,database,accession,product,resistance,record
R. mannitolilytica 451A,genome11.fasta,NODE_2_length_682840_cov_16.157191,158350,159177,+,OXA-443,1-828/828,===============,0/0,100.0,100.0,card,CM009147.1:669855-670683,Assigned by Lahey's list of beta-lactamases no accessions or other information available,cephalosporin;penam,451A
R. mannitolilytica 451A,genome11.fasta,NODE_5_length_367411_cov_15.777492,247400,248215,-,OXA-444,1-816/816,===============,0/0,100.0,100.0,card,LC030179.1:0-816,Assigned by Lahey's list of beta-lactamases no accessions or other information available,cephalosporin;penam,451A
R. mannitolilytica 451A,genome11.fasta,NODE_7_length_206317_cov_15.516788,45243,48323,-,ceoB,1-3081/3084,========/======,21/40,99.25,80.72,card,U97042:1263-4347,ceoB is a cytoplasmic membrane component of the CeoAB-OpcM efflux pump,aminoglycoside;fluoroquinolone,451A
S. haemolyticus 637C,genome18.fasta,NODE_39_length_12361_cov_21.368782,10789,12333,-,qacA,1-1545/1545,===============,0/0,100.0,99.94,card,AB566411:0-1545,qacA is a subunit of the qac multidrug efflux pump,fluoroquinolone,637C
S. haemolyticus 637C,genome18.fasta,NODE_4_length_128579_cov_24.485461,16388,16827,+,mgrA,1-440/444,===============,0/0,99.1,81.82,card,BA000018.3:735860-735416,MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.,acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline,637C
S. aureus 481A,genome28.fasta,NODE_15_length_73176_cov_21.454890,70023,71466,+,Staphylococcys_aureus_LmrS,1-1443/1443,========/======,1/1,100.0,99.1,card,CP000046.1:2236817-2235374,MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid,aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol,481A
S. aureus 481A,genome28.fasta,NODE_22_length_45405_cov_18.876330,16887,17546,+,arlR,1-660/660,===============,0/0,100.0,98.79,card,CP023390.1:1462248-1461588,ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.,acridine_dye;fluoroquinolone,481A
S. aureus 481A,genome28.fasta,NODE_22_length_45405_cov_18.876330,17543,18898,+,arlS,1-1356/1356,===============,0/0,100.0,99.85,card,CP000253.1:1361636-1360280,ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.,acridine_dye;fluoroquinolone,481A
S. aureus 481A,genome28.fasta,NODE_3_length_208686_cov_21.452118,62562,62981,+,mepR,1-420/420,===============,0/0,100.0,99.29,card,BA000017.4:379931-380351,MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.,glycylcycline;tetracycline,481A
S. aureus 481A,genome28.fasta,NODE_3_length_208686_cov_21.452118,63088,64443,+,mepA,1-1356/1356,===============,0/0,100.0,98.75,card,AY661734.1:839-2195,MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.,glycylcycline;tetracycline,481A
S. aureus 481A,genome28.fasta,NODE_5_length_175766_cov_17.942015,42059,43225,-,Staphylococcus_aureus_norA,1-1167/1167,===============,0/0,100.0,100.0,card,D90119.1:477-1644,NorA gene cloned from Staphylococcus aureus conferred relatively high resistance to hydrophilic quinolones such as norfloxacin enoxacin ofloxacin and ciprofloxacin in S. aureus and Escherichia coli. Had low or no resistance at all to hydrophobic ones such as nalidixic acid oxolinic acid and sparfloxacin in S. aureus and Escherichia coli.,fluoroquinolone,481A
S. aureus 481A,genome28.fasta,NODE_5_length_175766_cov_17.942015,50876,51319,+,mgrA,1-444/444,===============,0/0,100.0,100.0,card,BA000018.3:735860-735416,MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.,acridine_dye;cephalosporin;fluoroquinolone;penam;peptide;tetracycline,481A
S. aureus 481A,genome28.fasta,NODE_6_length_138720_cov_24.625158,28608,29960,+,tet(38),1-1353/1353,===============,0/0,100.0,99.63,card,AY825285:0-1353,Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.,tetracycline,481A
E.  coli 92M3,genome44.fasta,NODE_10_length_182612_cov_4.124166,122574,123249,-,kdpE,1-676/678,===============,0/0,99.71,95.27,card,U00096.3:721733-721055,kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.,aminoglycoside,92M3
E.  coli 92M3,genome44.fasta,NODE_12_length_173622_cov_4.320234,80283,81251,+,pmrF,1-969/969,===============,0/0,100.0,98.04,card,U00096:2367070-2368039,PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,peptide,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,19100,19576,-,mphB,1-477/477,===============,0/0,100.0,97.9,card,AE005174.2:3397370-3397847,The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.,macrolide,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,40281,43394,-,acrD,1-3114/3114,===============,0/0,100.0,98.91,card,AP009048.1:2586250-2589364,AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.,aminoglycoside,92M3
E.  coli 92M3,genome44.fasta,NODE_13_length_146153_cov_3.977378,74616,75920,-,Escherichia_coli_ampC1_beta-lactamase,1-1305/1305,===============,0/0,100.0,96.32,card,FN649414.1:2765050-2766355,An ampC-like beta-lactamase identified from Escherichia coli.,cephalosporin;penam,92M3
