locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLCPLGJP_00001	CDS	846	blaZ	3.5.2.6		Beta-lactamase
LLCPLGJP_00002	CDS	1758	blaR1			Regulatory protein BlaR1
LLCPLGJP_00003	CDS	381	blaI			Penicillinase repressor
LLCPLGJP_00004	CDS	579	hin		COG1961	DNA-invertase hin
LLCPLGJP_00005	CDS	609	bin3			Putative transposon Tn552 DNA-invertase bin3
LLCPLGJP_00006	CDS	1323	mntH			Divalent metal cation transporter MntH
LLCPLGJP_00007	CDS	153				hypothetical protein
LLCPLGJP_00008	CDS	687				hypothetical protein
LLCPLGJP_00009	CDS	768	racA			Chromosome-anchoring protein RacA
LLCPLGJP_00010	CDS	936				hypothetical protein
